NumberOfMonths,Artist,Album,SongName,January 2016,February 2016,March 2016,April 2016,May 2016,June 2016,July 2016,August 2016,September 2016,October 2016,November 2016,December 2016,January 2017,February 2017,March 2017,April 2017,May 2017,June 2017,July 2017,August 2017,September 2017,October 2017,November 2017,December 2017,January 2018,February 2018,March 2018,April 2018,May 2018,June 2018,July 2018,August 2018,September 2018,October 2018,November 2018,December 2018,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022
14,Dennis Lloyd,Nevermind - Single,Nevermind,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind,Nevermind
13,Dennis Lloyd,Never Go Back - Single,Never Go Back,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back,Never Go Back
22,Bazzi,Cosmic,Myself,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,Myself,-,-,-,-,Myself,-,-,Myself,-,-,Myself,-,-,-,-,-,Myself,Myself,-,-,-,-,Myself
28,Kelly Clarkson,All I Ever Wanted,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,-,-,-,My Life Would Suck Without You,-,-,My Life Would Suck Without You,-,My Life Would Suck Without You,My Life Would Suck Without You,-,My Life Would Suck Without You,-,-,-,-,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,-,-,-,-,-,-,-,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,-,-,-,-,My Life Would Suck Without You,My Life Would Suck Without You,My Life Would Suck Without You,-,-,-,-,-,-,-,-,-,-,-,-,My Life Would Suck Without You,-,-,My Life Would Suck Without You,-,-,-,-,-,-,My Life Would Suck Without You,-,-,-,-,-,-,-,-,-,-,-,-,My Life Would Suck Without You
5,ODESZA,My Friends Never Die - EP,My Friends Never Die,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,My Friends Never Die,My Friends Never Die,My Friends Never Die,My Friends Never Die,My Friends Never Die
5,Lorde,Solar Power,Mood Ring,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mood Ring,Mood Ring,Mood Ring,Mood Ring,Mood Ring
13,Daya,The Difference - EP,Montana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,Montana,-,Montana,-,Montana,Montana,-,Montana
6,Tove Lo,Queen of the Clouds,Moments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Moments,Moments,Moments,Moments,-,Moments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Moments
43,Justin Timberlake,The 20/20 Experience,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,-,-,Mirrors,-,-,-,-,-,-,Mirrors,-,-,-,-,-,-,-,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,-,-,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,Mirrors,-,Mirrors,Mirrors,-,Mirrors,-,-,-,-,-,-,-,Mirrors,-,-,-,-,-,Mirrors,-,-,-,Mirrors,Mirrors,Mirrors,Mirrors,-,Mirrors,Mirrors,Mirrors,-,-,-,-,Mirrors,Mirrors
15,Panic! At the Disco,Vices & Virtues,Memories,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Memories,Memories,-,-,Memories,-,-,Memories,-,-,-,Memories,-,-,-,-,-,-,-,Memories,Memories,-,-,-,-,Memories,Memories,Memories,-,-,-,-,Memories,-,-,-,-,-,Memories,-,-,-,-,-,-,-,-,-,-,-,-,-,Memories,Memories,-,-,-,-,-,-,-,-,-,-,-,Memories
17,Jason Mraz,We Sing. We Dance. We Steal Things,Lucky (feat. Colbie Caillat),-,-,-,-,-,-,-,Lucky (feat. Colbie Caillat),-,-,-,-,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),-,-,-,Lucky (feat. Colbie Caillat),-,-,Lucky (feat. Colbie Caillat),-,-,Lucky (feat. Colbie Caillat),-,-,-,-,Lucky (feat. Colbie Caillat),-,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),-,Lucky (feat. Colbie Caillat),-,-,Lucky (feat. Colbie Caillat),-,Lucky (feat. Colbie Caillat),-,-,Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),Lucky (feat. Colbie Caillat),-,-,-,-,-,Lucky (feat. Colbie Caillat),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lucky (feat. Colbie Caillat)
27,Kendrick Lamar,DAMN.,Love. (Feat. Zacari.),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),-,Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),-,-,Love. (feat. Zacari.),-,-,-,-,-,-,-,-,Love. (feat. Zacari.),-,-,-,-,-,-,-,-,Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),-,-,-,-,-,-,-,Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),Love. (feat. Zacari.),-,-,Love. (feat. Zacari.),-,Love. (feat. Zacari.)
33,Blake Rose,Lost - Single,Lost [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],Lost [2],-,Lost [2],Lost [2],Lost [2],Lost [2]
31,Audioslave,Audioslave,Like a Stone,Like a Stone,Like a Stone,Like a Stone,Like a Stone,Like a Stone,-,-,-,Like a Stone,Like a Stone,Like a Stone,Like a Stone,-,-,Like a Stone,-,-,-,-,-,-,-,-,Like a Stone,Like a Stone,Like a Stone,Like a Stone,Like a Stone,-,-,-,Like a Stone,-,Like a Stone,Like a Stone,-,-,-,-,-,Like a Stone,-,-,Like a Stone,Like a Stone,-,-,-,Like a Stone,-,-,-,-,-,-,-,-,Like a Stone,-,-,-,-,-,Like a Stone,Like a Stone,-,Like a Stone,Like a Stone,-,-,-,-,-,-,Like a Stone,-,-,-,-,Like a Stone,Like a Stone,Like a Stone
16,Ed Sheeran,+,Lego House,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,Lego House,-,-,-,-,Lego House,Lego House,-,-,-,-,-,-,-,Lego House
28,Blake Rose,Lady - Single,Lady,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,Lady,-,Lady,-,Lady,Lady,Lady,Lady
7,MyKey,Welcome to the Witching Hour,Kneepads,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads,Kneepads
5,Devon Cole,Party For One,July for the Whole Year,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year,July for the Whole Year
18,Noah Cyrus,The End of Everything,July,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,July,July,July,July,July,July,July,July,July,-,July,July,July,July,July,July,-,July,July,-,July
5,Beatenberg,The Hanging Gardens of Beatenberg,Ithaca,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Ithaca,Ithaca,Ithaca,Ithaca,Ithaca
11,Sody,is your bedroom ceiling bored? - Single,is your bedroom ceiling bored? (feat. Cavetown),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),is your bedroom ceiling bored? (feat. Cavetown),-,-,-,is your bedroom ceiling bored? (feat. Cavetown),-,is your bedroom ceiling bored? (feat. Cavetown),-,-,-,-,-,-,-,-,-,-,-,is your bedroom ceiling bored? (feat. Cavetown)
59,Daft Punk,Random Access Memories,Instant Crush (feat. Julian Casablancas),-,-,-,-,-,-,-,-,-,-,-,-,-,-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,-,-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),-,Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas),Instant Crush (feat. Julian Casablancas)
2,The Veronicas,In My Blood- Single,In My Blood [2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,In My Blood [2],In My Blood [2]
4,Jaden,SYRE,Icon,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Icon,Icon,Icon,Icon
19,The Beatles,Help!,I've Just Seen a Face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,-,-,-,I've Just Seen a Face,-,-,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,-,-,-,-,I've Just Seen a Face,I've Just Seen a Face,-,-,-,-,I've Just Seen a Face,-,-,-,-,-,-,-,I've Just Seen a Face,I've Just Seen a Face,I've Just Seen a Face,-,-,-,I've Just Seen a Face,-,I've Just Seen a Face,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I've Just Seen a Face
32,Jason Mraz,We Sing. We Dance. We Steal Things,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,-,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,I'm Yours,-,-,I'm Yours,I'm Yours,I'm Yours,-,-,-,I'm Yours,-,-,I'm Yours,I'm Yours,I'm Yours,-,I'm Yours,-,-,-,-,I'm Yours,I'm Yours,-,-,-,I'm Yours,I'm Yours,I'm Yours,-,-,-,-,-,-,I'm Yours,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I'm Yours,-,-,-,-,-,-,I'm Yours,-,-,-,-,-,-,-,I'm Yours
8,Adele,21,I'll Be Waiting,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I'll Be Waiting,I'll Be Waiting,I'll Be Waiting,I'll Be Waiting,-,-,I'll Be Waiting,-,-,I'll Be Waiting,I'll Be Waiting,I'll Be Waiting
4,Childish Gambino,Because the Internet,I.Crawl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I.Crawl,I.Crawl,I.Crawl,-,I.Crawl
8,Jon Bellion,I Feel It (feat. Burna Boy) - Single,I Feel It (feat. Burna Boy),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),I Feel It (feat. Burna Boy),-,-,I Feel It (feat. Burna Boy)
12,Halsey,"If I Can’t Have Love, I Want Power","I am not a woman, I'm a god",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god","I am not a woman, I'm a god",-,"I am not a woman, I'm a god"
12,The Black Keys,Brothers,Howlin' for You,-,-,-,-,-,-,-,-,-,-,Howlin' for You,Howlin' for You,Howlin' for You,Howlin' for You,-,-,-,Howlin' for You,Howlin' for You,Howlin' for You,Howlin' for You,-,-,-,-,-,-,-,Howlin' for You,-,-,-,-,-,-,Howlin' for You,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Howlin' for You,-,-,-,-,-,-,-,-,-,-,-,-,-,Howlin' for You
27,The Fray,How To Save A Life,How To Save A Life,-,-,-,-,-,-,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,-,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,How To Save A Life,-,How To Save A Life,-,-,-,-,How To Save A Life,-,How To Save A Life,-,-,-,-,How To Save A Life,-,-,-,-,-,-,How To Save A Life,How To Save A Life,How To Save A Life,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,How To Save A Life,-,How To Save A Life,How To Save A Life,-,-,-,-,-,-,How To Save A Life,-,-,-,-,-,-,How To Save A Life,How To Save A Life
9,Balu Brigada,How It Would End - Single,How It Would End,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End,How It Would End
11,Eagles,Hotel California,Hotel California,Hotel California,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hotel California,-,-,-,-,-,-,-,Hotel California,Hotel California,Hotel California,Hotel California,Hotel California,Hotel California,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hotel California,Hotel California,-,-,-,Hotel California
12,ZHU,Generationwhy,Hometown Girl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl,-,Hometown Girl,Hometown Girl,Hometown Girl,Hometown Girl
6,Quinn XCII,Change of Scenery II,"Hey, Goodbye",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Hey, Goodbye","Hey, Goodbye",-,"Hey, Goodbye","Hey, Goodbye","Hey, Goodbye","Hey, Goodbye"
57,Kanye West,808s & Heartbreak,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,-,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,Heartless,-,-,-,Heartless,Heartless,-,Heartless,Heartless,Heartless,Heartless,Heartless,-,-,Heartless,-,Heartless,Heartless,Heartless,-,-,-,-,-,-,Heartless,-,-,-,-,Heartless,-,-,Heartless,-,-,Heartless,-,Heartless,Heartless,Heartless,Heartless,-,Heartless,Heartless,Heartless,-,Heartless
46,Creedence Clearwater Revival,Pendulum,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,-,Have You Ever Seen the Rain?,-,-,Have You Ever Seen the Rain?,-,-,-,-,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,-,-,Have You Ever Seen the Rain?,-,-,-,-,-,-,-,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,-,Have You Ever Seen the Rain?,-,-,-,-,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,-,-,-,-,-,-,-,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,-,-,-,-,-,-,-,-,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?,Have You Ever Seen the Rain?
2,Jake Scott,Green Eyes (Acoustic) - Single,Green Eyes (Acoustic),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Green Eyes (Acoustic),Green Eyes (Acoustic)
26,John Mayer,Continuum,Gravity,Gravity,Gravity,Gravity,Gravity,Gravity,Gravity,Gravity,-,Gravity,-,-,Gravity,Gravity,Gravity,-,-,-,Gravity,Gravity,-,-,-,-,-,Gravity,-,-,-,-,Gravity,-,-,Gravity,Gravity,Gravity,-,-,-,-,-,-,-,-,-,-,-,Gravity,-,-,-,-,-,-,-,-,-,-,-,-,-,Gravity,Gravity,Gravity,Gravity,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gravity,Gravity,Gravity
11,Bruno Mars,Unorthodox Jukebox,Gorilla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Gorilla,Gorilla,Gorilla,Gorilla,-,Gorilla,-,-,Gorilla,Gorilla,-,Gorilla,-,Gorilla,-,-,-,-,-,-,-,Gorilla,-,-,-,-,Gorilla
2,Porter Robinson,Worlds,Goodbye To a World,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Goodbye To a World,Goodbye To a World
6,Mimi Webb,Seven Shades of Heartbreak,Good Without,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Good Without,Good Without,-,Good Without,Good Without,Good Without,Good Without
3,Olivia Rodrigo,Sour,good 4 u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,good 4 u,good 4 u,good 4 u
